# Comments start with a '#' which ignores the whole line
# Empty lines are OK (also ignored)
# Format: 
# !version [version]
# Then, lines like `"Airbus A300-600","AB6","A306","IFR","MP","ME"`
# Aircraft lines MUST have name and type in `"` and start with a `"`

!version 1

"De Havilland Canada DHC-2 Beaver","DHP","DHC2","IFR","SP","SE"
"De Havilland Canada DHC-2 Turbo-Beaver","DHR","DH2T","IFR","SP","SE"
"De Havilland Canada DHC-3 Otter","DHL","DHC3","IFR","SP","SE"
"De Havilland Canada DHC-4 Caribou","DHC","DHC4","IFR","MP","ME"
"De Havilland Canada DHC-6 Twin Otter Single Pilot","DHT","DHC6","IFR","SP","ME"
"De Havilland Canada DHC-6 Twin Otter","DHT","DHC6","IFR","MP","ME"
"De Havilland Canada DHC-7 Dash 7","DH7","DHC7","IFR","MP","ME"
"De Havilland Canada DHC-8-100 Dash 8 / 8Q","DH1","DH8A","IFR","MP","ME"
"De Havilland Canada DHC-8-200 Dash 8 / 8Q","DH2","DH8B","IFR","MP","ME"
"De Havilland Canada DHC-8-300 Dash 8","DH3","DH8C","IFR","MP","ME"
"De Havilland Canada DHC-8-400 Dash 8Q","DH4","DH8D","IFR","MP","ME"
"De Havilland DH.104 Dove","DHD","DOVE","IFR","MP","ME"
"De Havilland DH.114 Heron","DHH","HERN","IFR","MP","ME"
"Douglas DC-10","D10","DC10","IFR","MP","ME"
"Douglas DC-3","D3F","DC3","IFR","MP","ME"
"Douglas DC-6","D6F","DC6","IFR","MP","ME"
"Douglas DC-8-50","D8T","DC85","IFR","MP","ME"
"Douglas DC-8-62","D8L","DC86","IFR","MP","ME"
"Douglas DC-8-72","D8Q","DC87","IFR","MP","ME"
"Douglas DC-9-10","D91","DC91","IFR","MP","ME"
"Douglas DC-9-20","D92","DC92","IFR","MP","ME"
"Douglas DC-9-30","D93","DC93","IFR","MP","ME"
"Douglas DC-9-40","D94","DC94","IFR","MP","ME"
"Douglas DC-9-50","D95","DC95","IFR","MP","ME"
"Embraer 170","E70","E170","IFR","MP","ME"
"Embraer 175","E75",\N,"IFR","MP","ME"
"Embraer 175 (long wing)","E7W","E75L","IFR","MP","ME"
"Embraer 175 (short wing)","E7W","E75S","IFR","MP","ME"
"Embraer 190","E90","E190","IFR","MP","ME"
"Embraer 195","E95","E195","IFR","MP","ME"
"Embraer E190-E2","290","E290","IFR","MP","ME"
"Embraer E195-E2","295","E295","IFR","MP","ME"
"Embraer EMB 110 Bandeirante","EMB","E110","IFR","MP","ME"
"Embraer EMB 120 Brasilia","EM2","E120","IFR","MP","ME"
"Embraer Legacy 450",\N,"E545","IFR","MP","ME"
"Embraer Legacy 600","ER3","E35L","IFR","MP","ME"
"Embraer Phenom 100","EP1","E50P","IFR","MP","ME"
"Embraer Phenom 300","EP3","E55P","IFR","MP","ME"
"Embraer RJ135","ER3","E135","IFR","MP","ME"
"Embraer RJ140","ERD","E135","IFR","MP","ME"
"Embraer RJ145","ER4","E145","IFR","MP","ME"
"Fairchild Dornier 328JET","FRJ","J328","IFR","MP","ME"
"Fairchild Dornier Do.228","D28","D228","IFR","MP","ME"
"Fairchild Dornier Do.328","D38","D328","IFR","MP","ME"
"Fokker 100","100","F100","IFR","MP","ME"
"Fokker 50","F50","F50","IFR","MP","ME"
"Fokker 70","F70","F70","IFR","MP","ME"
"Fokker F27 Friendship","F27","F27","IFR","MP","ME"
"Fokker F28 Fellowship","F21","F28","IFR","MP","ME"
"Gulfstream Aerospace G-159 Gulfstream I","GRS","G159","IFR","MP","ME"
"Gulfstream G280","GR3","G280","IFR","MP","ME"
"Gulfstream G650","GJ6","GLF6","IFR","MP","ME"
"Gulfstream IV","GJ4","GLF4","IFR","MP","ME"
"Gulfstream V","GJ5","GLF5","IFR","MP","ME"
"Gulfstream/Rockwell (Aero) Commander","ACP","AC68","IFR","MP","ME"
"Gulfstream/Rockwell (Aero) Turbo Commander","ACT","AC90","IFR","MP","ME"
"Harbin Yunshuji Y12","YN2","Y12","IFR","MP","ME"
"Hawker Siddeley HS 748","HS7","A748","IFR","MP","ME"
"Ilyushin IL114","I14","I114","IFR","MP","ME"
"Ilyushin IL18","IL8","IL18","IFR","MP","ME"
"Ilyushin IL62","IL6","IL62","IFR","MP","ME"
"Ilyushin IL76","IL7","IL76","IFR","MP","ME"
"Ilyushin IL86","ILW","IL86","IFR","MP","ME"
"Ilyushin IL96","I93","IL96","IFR","MP","ME"
"Learjet 35","LRJ","LJ35","IFR","MP","ME"
"Learjet 60","LRJ","LJ60","IFR","MP","ME"
"Lockheed L-1011 Tristar","L10","L101","IFR","MP","ME"
"Lockheed L-1049 Super Constellation","L49","CONI","IFR","MP","ME"
"Lockheed L-182 / 282 / 382 (L-100) Hercules","LOH","C130","IFR","MP","ME"
